,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,Listing ownership
0,0,44077,Bungalow in Churchtown · ★4.79 · 1 bedroom · 2 beds · 1.5 shared baths,193005,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,78,3,295,2,Multiple properties
1,1,85156,Bungalow in Churchtown · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,193005,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,79,3,248,2,Multiple properties
2,2,159889,Home in Dublin · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,766611,Dublin City,53.39027,-6.23547,Private room,50,3,390,3,Multiple properties
3,3,162809,Townhouse in Dublin · ★4.84 · 2 bedrooms · 4 beds · 1.5 shared baths,777681,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,79,1,344,2,Multiple properties
4,4,165828,Rental unit in Dublin · ★4.64 · 1 bedroom · 3 beds · 1 bath,790601,Dublin City,53.33744,-6.32363,Entire home/apt,378,5,75,5,Multiple properties
5,5,165829,Rental unit in Dublin · ★4.70 · 1 bedroom · 3 beds · 1 bath,790601,Dublin City,53.33744,-6.32363,Entire home/apt,409,3,80,5,Multiple properties
6,6,178860,Home in Dublin · ★4.88 · 1 bedroom · 1.5 shared baths,856312,Dublin City,53.33281,-6.2675,Private room,80,2,313,2,Multiple properties
7,7,237465,Rental unit in Dublin · ★4.55 · 1 bedroom · 2 beds · 1.5 baths,1245198,Dublin City,53.39558,-6.17524,Entire home/apt,82,1,447,3,Multiple properties
8,8,245903,Home in Lucan · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,1289720,South Dublin,53.34636,-6.41734,Private room,30,30,44,1,Single property
9,9,275425,Home in Sandymount · ★5.0 · 2 bedrooms · 2 beds · 3 baths,1357428,Dublin City,53.32538,-6.20701,Entire home/apt,300,3,8,1,Single property
10,10,292757,Home in Dublin · ★4.93 · 4 bedrooms · 5 beds · 2.5 baths,1515549,Dublin City,53.36949,-6.34889,Entire home/apt,125,2,398,1,Single property
11,11,302554,Rental unit in Dublin · ★4.68 · 1 bedroom · 3 beds · 1 bath,1557844,Dublin City,53.35681,-6.29094,Entire home/apt,176,2,67,8,Multiple properties
12,12,302634,Rental unit in Dublin · ★4.64 · 1 bedroom · 2 beds · 1 bath,1557844,Dublin City,53.35681,-6.29094,Entire home/apt,86,2,119,8,Multiple properties
13,13,333950,Townhouse in Dublin · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,1607393,Dublin City,53.342,-6.27369,Private room,105,3,246,2,Multiple properties
14,14,374792,Rental unit in Dublin · ★4.47 · 1 bedroom · 3 beds · 1 bath,790601,Dublin City,53.33744,-6.32363,Entire home/apt,336,5,36,5,Multiple properties
15,15,386088,Townhouse in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1932497,Dublin City,53.32584,-6.26729,Entire home/apt,139,14,7,1,Single property
16,16,386860,Home in Dublin · ★4.67 · 2 bedrooms · 2 beds · 1 bath,1935798,Dublin City,53.3379,-6.27517,Entire home/apt,164,1,92,2,Multiple properties
17,17,393631,Home in Dublin · ★4.87 · 3 bedrooms · 3 beds · 2 baths,1968168,Dublin City,53.35764,-6.24171,Entire home/apt,180,3,72,1,Single property
18,18,419987,Rental unit in Dublin · ★4.78 · 1 bedroom · 3 beds · 1 bath,1557844,Dublin City,53.35682,-6.29132,Entire home/apt,180,2,158,8,Multiple properties
19,19,424596,Loft in Dublin · ★4.85 · 1 bedroom · 1 bed · 1 bath,2110301,Dublin City,53.355545,-6.258094,Entire home/apt,167,2,565,4,Multiple properties
20,20,426326,Home in Dublin · ★4.61 · 3 bedrooms · 2 beds · 2 shared baths,766611,Dublin City,53.39027,-6.23547,Private room,65,2,262,3,Multiple properties
21,21,427077,Loft in Dublin · ★4.83 · 1 bedroom · 1 bed · 1 bath,2110301,Dublin City,53.35572,-6.25803,Entire home/apt,169,2,540,4,Multiple properties
22,22,427495,Home in Dublin · ★4.60 · 17 bedrooms · 1 bed · 2 shared baths,766611,Dublin City,53.39027,-6.23547,Private room,60,3,187,3,Multiple properties
23,23,468082,Home in Lucan · ★4.72 · 2 bedrooms · 3 beds · 2 baths,2115318,South Dublin,53.35328,-6.45154,Private room,135,1,338,3,Multiple properties
24,24,522667,Loft in Dublin · ★4.81 · 1 bedroom · 1 bed · 1 bath,2110301,Dublin City,53.355545,-6.258094,Entire home/apt,167,2,470,4,Multiple properties
25,25,526767,Loft in Dublin · ★4.90 · Studio · 2 beds · 1 bath,2340296,Dublin City,53.34752,-6.26393,Entire home/apt,183,3,609,1,Single property
26,26,575339,Rental unit in Dublin · 1 bedroom · 2 beds · 1 bath,1689834,Dublin City,53.34391,-6.23845,Private room,50,1,0,1,Single property
27,27,587218,Home in Dublin · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,2895736,Dublin City,53.36405,-6.27351,Private room,90,2,241,1,Single property
28,28,592840,Home in Lucan · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,2115318,South Dublin,53.35153,-6.45154,Private room,65,1,62,3,Multiple properties
29,29,610233,Home in Smithfield · ★4.82 · 2 bedrooms · 2 beds · 2.5 baths,687547,Dublin City,53.34616,-6.27228,Entire home/apt,300,2,61,1,Single property
30,30,637185,Rental unit in Dublin · ★4.50 · 1 bedroom · 1 bed · 1 bath,3177950,Dublin City,53.34675,-6.27552,Entire home/apt,112,7,158,1,Single property
31,31,641880,Rental unit in Dublin · ★4.53 · 1 bedroom · 1 bed · 1 bath,3207141,Dublin City,53.34427,-6.28322,Private room,85,2,46,2,Multiple properties
32,32,654589,Condo in Dublin · ★4.77 · 2 bedrooms · 3 beds · 1 bath,3244025,Dublin City,53.34493,-6.26688,Entire home/apt,274,3,582,2,Multiple properties
33,33,690119,Cottage in Dundrum · ★4.90 · 2 bedrooms · 2 beds · 2 baths,3525420,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,360,4,219,1,Single property
34,34,726011,Rental unit in Skerries · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,3755932,Fingal,53.58179,-6.12118,Entire home/apt,126,3,189,1,Single property
