,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count
0,0,1447994,Rental unit in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,2401732,Dublin City,53.33993,-6.23329,Private room,124.0,3,3,1
1,1,5455984,Place to stay in Ballsbridge · 1 bedroom · 1 bed · 1 bath,14182153,Dublin City,53.33294,-6.23317,Private room,124.0,1,0,1
2,2,8967884,Rental unit in Dundrum · ★4.67 · 1 bedroom · 1 bed · 1 private bath,26761519,Dn Laoghaire-Rathdown,53.28871,-6.24673,Private room,124.0,1,3,1
3,3,10131392,Rental unit in Dublin · 1 bedroom · 1 bed · 1 bath,49337177,Dublin City,53.343,-6.2772,Private room,124.0,1,0,1
4,4,11496169,Rental unit in Dublin · 1 bedroom · 1 bed · 1 shared bath,41884859,Dublin City,53.34859,-6.26939,Private room,124.0,2,0,1
5,5,14084572,Rental unit in Dublin · 2 bedrooms · 2 beds · 2 baths,84684668,Fingal,53.37395,-6.40402,Entire home/apt,124.0,3,0,1
6,6,15659287,Home in Crumlin · 1 bedroom · 1 bed · 2 baths,101087087,Dublin City,53.32335,-6.30992,Private room,200.0,1,0,1
7,7,16255930,Rental unit in Dublin · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,21399134,Dublin City,53.34949,-6.26913,Private room,124.0,2,10,1
8,8,17508695,Rental unit in Dublin · 1 bedroom · 1 bed · 1 private bath,32496075,Dublin City,53.34962,-6.23013,Private room,124.0,2,2,1
9,9,19586316,Home in Dublin · 1 bedroom · 1 bed · 1 shared bath,137668471,Dn Laoghaire-Rathdown,53.27875,-6.1531,Private room,124.0,1,0,1
10,10,20089439,Home in North Strand · 1 bedroom · 1 bed · 1 bath,42931313,Dublin City,53.35762,-6.23672,Entire home/apt,124.0,2,0,1
11,11,20328651,Guest suite in Dublin 14 · ★5.0 · 1 bedroom · 1 bed · 1 bath,145035473,Dn Laoghaire-Rathdown,53.30285,-6.24651,Entire home/apt,124.0,5,5,1
12,12,20415774,Home in Killiney · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,123075034,Dn Laoghaire-Rathdown,53.24558,-6.12116,Private room,124.0,14,10,1
13,13,21780153,Home in Dublin 7 · 2 bedrooms · 2 beds · 1.5 baths,15799231,Dublin City,53.3614,-6.27975,Private room,28.0,500,0,1
14,14,22393730,Rental unit in Dublin 1 · 1 bedroom · 1 bed · 1 private bath,153003762,Dublin City,53.35273,-6.25334,Private room,124.0,3,1,1
15,15,26120228,Home in Dublin 1 · ★4.48 · 1 bedroom · 2 beds · 1.5 shared baths,82902365,Dublin City,53.3526,-6.24379,Private room,124.0,1,25,7
16,16,30345989,Rental unit in Dublin · 1 bedroom · 1 bed · 1 bath,73982584,Dublin City,53.34336,-6.2695,Entire home/apt,124.0,5,0,1
17,17,35799006,Rental unit in Dublin 8 · ★4.83 · 2 bedrooms · 2 beds · 2 baths,268529189,Dublin City,53.33849,-6.27477,Entire home/apt,124.0,2,6,2
18,18,36731209,Rental unit in Dublin · 1 bedroom · 1 bed · 1 shared bath,141902429,Dublin City,53.35746,-6.26483,Shared room,124.0,3,1,1
19,19,45167055,Home in Dublin · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,99717635,South Dublin,53.27409,-6.30456,Private room,124.0,1,13,4
20,20,671588792877795417,Home in Rathfarnham · 1 bedroom · 1 bed · 1 bath,23178155,South Dublin,53.28699,-6.27728,Entire home/apt,124.0,3,1,1
21,21,713585293791471001,Townhouse in Dublin · 3 bedrooms · 5 beds · 2 baths,21848899,Dublin City,53.33033977005253,-6.243842928165873,Entire home/apt,1450.0,4,0,1
22,22,944249548618685685,Home in Dublin · 1 bedroom · 2 beds · 1 bath,478582807,Dublin City,53.32211,-6.30519,Entire home/apt,150.0,10,0,1
23,23,854737028207771147,Home in Dublin 4 · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,41137785,Dublin City,53.337003416517945,-6.221897453069687,Private room,100.0,2,10,2
24,24,1016028275479909417,Home in Dublin · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,541980503,Dublin City,53.35945505833964,-6.194329708814621,Private room,59.0,1,3,2
25,25,53440485,Condo in Dublin 1 · ★4.93 · 1 bedroom · 1 bed · 1 private bath,103640220,Dublin City,53.34689290135096,-6.240549873807142,Private room,101.0,2,122,1
26,26,975885195706169547,Home in Dublin · ★4.91 · 1 bedroom · 1 bed · 2 baths,110999202,Dublin City,53.3333,-6.24281,Private room,98.0,1,11,9
27,27,51747040,Rental unit in Dublin 2 · ★4.72 · 1 bedroom · 1 bed · 1 bath,417658124,Dublin City,53.34494,-6.26526,Entire home/apt,143.0,2,105,12
28,28,1033768775460854237,Rental unit in Dublin 9 · ★New · Studio · 5 beds · 1 shared bath,542751309,Dublin City,53.40040363315093,-6.259867381412494,Shared room,166.0,1,0,7
29,29,884511284007104767,Rental unit in Dublin · 1 bedroom · 1 bed · 1 shared bath,385346522,Fingal,53.4194,-6.15118,Private room,87.0,1,2,1
30,30,21841880,Home in Monkstown · ★4.59 · 2 bedrooms · 3 beds · 1 bath,19193428,Dn Laoghaire-Rathdown,53.28535,-6.14568,Entire home/apt,70.0,5,27,2
31,31,38551390,Condo in Dublin · ★4.68 · 1 bedroom · 2 beds · 1.5 shared baths,13823045,Dublin City,53.37655262712045,-6.314897758914804,Private room,67.0,1,28,1
32,32,1024896172822462725,Rental unit in Dublin 1 · ★New · 1 bedroom · 1 bed · 1 bath,537727593,Dublin City,53.35256442616758,-6.258982316285704,Private room,72.0,1,1,1
33,33,9293644,Home in Dublin · ★4.87 · 1 bedroom · 1 bed · 1 bath,48252225,Dublin City,53.3463,-6.24836,Entire home/apt,80.0,75,45,1
34,34,26766318,Guest suite in Dublin 3 · ★4.96 · 2 bedrooms · 3 beds · 1 bath,72563949,Dublin City,53.36089,-6.21342,Entire home/apt,424.0,5,78,2
35,35,938307099523663554,Rental unit in Dublin 1 · 1 bedroom · 1 bed · 1 bath,502110684,Dublin City,53.35298388440948,-6.268378656684795,Private room,120.0,1,1,1
36,36,557227994301543450,Rental unit in Dublin 1 · ★5.0 · 1 bedroom · 3 beds · 1 bath,31284582,Dublin City,53.35722,-6.25807,Entire home/apt,90.0,14,12,84
37,37,32164744,Home in Dublin 8 · ★4.80 · 1 bedroom · 3 beds · 1 bath,31284582,Dublin City,53.33963,-6.28001,Entire home/apt,169.0,14,84,84
38,38,39820233,Home in Beaumont · ★4.38 · 1 bedroom · 1 bed · 1 shared bath,45787311,Dublin City,53.38242,-6.23239,Private room,75.0,1,148,3
39,39,988871577228302153,Rental unit in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,165388656,Dn Laoghaire-Rathdown,53.25423514821178,-6.208521396295161,Private room,99.0,1,4,1
40,40,805267582226919977,Condo in Swords · ★3.67 · 3 bedrooms · 3 beds · 1 bath,483024454,Fingal,53.47067,-6.23171,Entire home/apt,158.0,3,6,51
41,41,967131923333160841,Rental unit in Dublin · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,143330170,Dublin City,53.3422749693398,-6.236703172628807,Private room,69.0,2,8,1
42,42,670054395947682004,Home in Ballyfermot Upper · ★4.50 · 1 bedroom · 1 bed · 1 bath,439074505,Dublin City,53.34281,-6.36181,Entire home/apt,338.0,1,4,5
43,43,836365694807551791,Home in Dublin · 2 bedrooms · 2 beds · 2 baths,4927572,South Dublin,53.28031,-6.41989,Entire home/apt,179.0,3,0,3
44,44,18869530,Condo in Dublin · ★4.89 · 1 bedroom · 2 beds · 1 bath,12036741,Dublin City,53.35242,-6.2748,Entire home/apt,82.0,14,207,17
45,45,949325073406265389,Rental unit in Dublin 8 · ★4.63 · 1 bedroom · 2 beds · 1.5 baths,529491974,Dublin City,53.3375,-6.29163,Private room,80.0,1,8,1
46,46,51975398,Home in Dublin · ★4.67 · 3 bedrooms · 3 beds · 2.5 baths,127984226,Dublin City,53.32644,-6.21979,Entire home/apt,237.0,30,6,19
47,47,881144273154191009,Home in Dublin · 3 bedrooms · 4 beds · 4 baths,130933478,Dn Laoghaire-Rathdown,53.28951,-6.12612,Entire home/apt,1250.0,3,0,2
48,48,8097974,Condo in Dublin · ★4.81 · 1 bedroom · 1 bed · 2 baths,42762271,Dublin City,53.34804,-6.24427,Private room,200.0,2,27,1
49,49,25889914,Cottage in Dublin · ★4.36 · 2 bedrooms · 3 beds · 1.5 baths,194540146,Dublin City,53.34931,-6.34536,Entire home/apt,200.0,2,59,1
50,50,949145446028033800,Rental unit in Dublin · 1 bedroom · 1 bed · 1 bath,529423392,Dn Laoghaire-Rathdown,53.27823,-6.21048,Entire home/apt,104.0,21,0,1
51,51,6448254,Rental unit in Malahide · ★4.72 · 1 bedroom · 1.5 baths,32275630,Fingal,53.4476,-6.17971,Private room,62.0,2,18,1
52,52,49670306,Home in Dublin 3 · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,42474513,Dublin City,53.36313,-6.21723,Private room,79.0,5,30,3
53,53,1729959,Home in Dundrum · ★4.86 · 3 bedrooms · 5 beds · 1.5 baths,9115187,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,1390.0,2,7,2
54,54,1013674125828222885,Home in Dublin · ★New · 1 bedroom · 5 beds · 2 shared baths,239718762,Fingal,53.40077,-6.2601,Shared room,55.0,1,0,28
55,55,42482009,Home in Blackrock · ★4.86 · 1 bedroom · 1 bed · 1 private bath,40629570,Dn Laoghaire-Rathdown,53.30066,-6.1832,Private room,65.0,2,84,1
56,56,658346706026078760,Rental unit in Dublin 1 · ★4.68 · 2 bedrooms · 5 beds · 1 bath,465665833,Dublin City,53.35398,-6.26053,Entire home/apt,161.0,1,146,3
57,57,1002784419220428619,Condo in Dublin · ★New · 1 bedroom · 2 beds · 1 shared bath,541933014,Fingal,53.39535114603598,-6.372069219062482,Private room,100.0,1,0,1
58,58,1037519081454730810,Home in Dublin · ★New · 1 bedroom · 1 bed · 2 shared baths,239718762,Dublin City,53.39976,-6.25786,Shared room,21.0,15,0,28
59,59,891090540677584173,Rental unit in Dublin 2 · 1 bedroom · 1 bed · 1 private bath,513887602,Dublin City,53.34178619999999,-6.245391,Private room,156.0,2,1,2
60,60,675113908266889226,Condo in Dublin 8 · ★3.89 · 1 bedroom · 1 bed · 1 shared bath,404485557,Dublin City,53.34041797540642,-6.274862645329108,Private room,77.0,3,9,4
61,61,951385715457637033,Home in Dublin 13 · 3 bedrooms · 5 beds · 1.5 baths,69539205,Fingal,53.38978,-6.12468,Entire home/apt,244.0,3,0,1
62,62,50060347,Home in Dublin · ★4.69 · 3 bedrooms · 3 beds · 2 baths,127984226,Dn Laoghaire-Rathdown,53.28777,-6.15101,Entire home/apt,298.0,30,16,19
63,63,24249263,Home in Dublin 8 · ★5.0 · 1 bedroom · 1 bed · 1 private bath,94168794,Dublin City,53.33436,-6.2781,Private room,120.0,2,100,2
64,64,606546088690825561,Home in Dublin · ★4.80 · 3 bedrooms · 3 beds · 1.5 baths,28126996,Dn Laoghaire-Rathdown,53.27487,-6.2014,Entire home/apt,500.0,3,5,2
65,65,1017204590561160545,Townhouse in Dublin · ★New · 1 bedroom · 1 bed · 1 bath,51345837,Fingal,53.39264894636298,-6.364842890082183,Private room,80.0,2,0,1
66,66,9195535,Condo in Dublin · ★4.68 · 1 bedroom · 1 bed · 1 private bath,25134872,Dublin City,53.31964280564213,-6.217649736857331,Private room,125.0,1,25,1
67,67,963661922021571279,Rental unit in Dublin · 1 bedroom · 1 bed · 2 baths,533267030,Dn Laoghaire-Rathdown,53.29313860000001,-6.194826399999999,Entire home/apt,205.0,3,0,1
68,68,21350202,Rental unit in Dublin 2 · ★4.81 · 1 bedroom · 1 bed · 1 private bath,27472241,Dublin City,53.34213,-6.2633,Private room,104.0,3,157,8
69,69,924363961017126956,Home in County Dublin · 1 bedroom · 1 bed · Half-bath,397206310,Fingal,53.42625747243807,-6.173067004072222,Private room,70.0,1,1,1
70,70,827573912825078786,Rental unit in Dublin · 1 bedroom · 1 bed · 1 private bath,465762471,Dublin City,53.34516565576895,-6.2363238664723015,Private room,175.0,3,0,2
71,71,48498734,Condo in Dublin 13 · 1 bedroom · 1 private bath,391369910,Dublin City,53.40582,-6.15323,Private room,100.0,2,0,1
72,72,962040325457671811,Rental unit in Dublin 1 · ★4.29 · 1 bedroom · 2 beds · 1 bath,527904597,Dublin City,53.35238199397015,-6.250708493020709,Private room,123.0,1,21,1
73,73,1012277734627938699,Home in Dublin · ★New · 4 bedrooms · 10 beds · 2.5 baths,164606999,Fingal,53.38952,-6.43099,Private room,49.0,1,0,10
74,74,19976682,Home in Drumcondra · ★4.91 · 1 bedroom · 1 bed · 1 private bath,19982489,Dublin City,53.36309,-6.25745,Private room,95.0,21,129,2
75,75,918222546556602253,Rental unit in International Financial Services Centre · ★5.0 · 1 bedroom · 1 bed · 1 bath,70690080,Dublin City,53.35007815587223,-6.244381507409076,Entire home/apt,140.0,2,3,1
76,76,20826323,Rental unit in Dublin 3 · ★4.93 · 1 bedroom · 1 bed · 1 bath,59766997,Dublin City,53.36069,-6.20823,Entire home/apt,94.0,14,81,2
77,77,682445392025664256,Rental unit in Dublin 2 · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,426724307,Dublin City,53.33697,-6.24162,Private room,103.0,1,28,1
78,78,594838982294437665,Condo in Dublin · 1 bedroom · 2 beds · 1 shared bath,452117624,Dublin City,53.3541,-6.22977,Private room,450.0,5,1,3
79,79,554266902475051982,Townhouse in North Strand · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,69683252,Dublin City,53.35734,-6.24277,Entire home/apt,120.0,1,90,83
80,80,45309310,Home in Dublin 2 · 1 bedroom · 1 private bath,268990098,Dublin City,53.34554,-6.24966,Private room,78.0,28,0,11
81,81,43684857,Rental unit in Dublin 1 · ★4.81 · 1 bedroom · 1 bed · 1 bath,348896462,Dublin City,53.34947,-6.24064,Entire home/apt,97.0,4,26,1
82,82,41677883,Home in Dublin · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,248828414,Dn Laoghaire-Rathdown,53.25903,-6.20568,Private room,55.0,3,30,2
83,83,893284102770933282,Home in Dublin 10 · ★4.41 · 1 bedroom · 2 beds · 1 bath,515169820,Dublin City,53.3408042,-6.3553186,Private room,83.0,1,17,1
84,84,1012875713954100701,Rental unit in Dublin · ★New · 2 bedrooms · 3 beds · 1 bath,543286987,Dublin City,53.361063689799735,-6.260085816704046,Entire home/apt,203.0,3,0,2
85,85,1020913811967156624,Home in Dublin · ★New · 1 bedroom · 4 beds · 1.5 baths,4009786,Dn Laoghaire-Rathdown,53.27922553546788,-6.1323650548665976,Private room,90.0,1,0,3
86,86,17810642,Home in Dublin · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,107164896,Dublin City,53.36682,-6.2935,Private room,70.0,1,172,1
87,87,44257248,Rental unit in Dublin 5 · 1 bedroom · 1 bed · 1 bath,39855966,Dublin City,53.37574,-6.19328,Entire home/apt,70.0,3,0,1
88,88,841638997531572082,Condo in Dublin · 1 bedroom · 1 bed · 1 shared bath,483024454,Dublin City,53.33749798338976,-6.235050686891278,Private room,77.0,3,2,51
89,89,724463345907525578,Rental unit in Dublin 7 · ★5.0 · Studio · 1 bed · 1 bath,31284582,Dublin City,53.35688,-6.29374,Entire home/apt,77.0,14,3,84
90,90,968653078915390676,Cabin in Dublin · 1 bedroom · 1 bed · 1 bath,216100743,South Dublin,53.31227,-6.32469,Entire home/apt,100.0,2,0,4
91,91,994728980747539502,Rental unit in Dublin 9 · ★5.0 · 1 bedroom · 1 bed · Private half-bath,18466080,Dublin City,53.3623041,-6.258533799999999,Private room,80.0,1,6,2
92,92,1014635391779832141,Home in Dublin · ★New · 1 bedroom · 1 bed · 2 shared baths,239718762,Dublin City,53.39981,-6.26005,Shared room,32.0,1,2,28
93,93,1008541089915886686,Rental unit in Harold's Cross · ★New · 1 bedroom · 1 bed · 1 bath,418475251,Dublin City,53.31881914798365,-6.289462613010387,Entire home/apt,46.0,41,0,1
94,94,47921508,Guest suite in Dublin 8 · ★4.71 · 1 bedroom · 1 bed · 1 bath,241858685,Dublin City,53.3328,-6.27398,Entire home/apt,151.0,3,28,10
95,95,699780615170981742,Home in Swords · 1 bedroom · 1 bed · 1 private bath,476347237,Fingal,53.47388,-6.24281,Private room,110.0,1,2,1
96,96,846345678679145993,Home in Dublin · 2 bedrooms · 4 beds · 2.5 baths,237306214,Fingal,53.372629412191785,-6.403561925770732,Entire home/apt,500.0,150,0,3
97,97,805741831689464410,Home in County Dublin · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,417641851,Fingal,53.41186049609831,-6.157937936861636,Entire home/apt,514.0,3,14,1
98,98,722498612955266751,Home in Malahide · 3 bedrooms · 3 beds · 1.5 baths,7336387,Fingal,53.43939,-6.16046,Entire home/apt,255.0,15,0,2
99,99,984106845854719364,Rental unit in Dublin 8 · ★5.0 · 2 bedrooms · 3 beds · 2 baths,537927630,Dublin City,53.34128,-6.31263,Entire home/apt,248.0,1,3,1
